Field,FieldValue,Year,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,BA,CH
art,internet,2010,2,0,0,1,1,0,0,1,0,0,0,1,2,0,0,6,0,0,0,1,3,0,0,0,0,24,4,46
art,post,2010,1,0,0,8,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,20,0,0,3,0,46
art,telefon,2010,395,12,15,691,426,292,363,1793,3,85,32,158,239,25,10,538,71,119,112,615,668,2,863,184,30,2611,462,10814
art,notsuche,2010,32,0,0,28,14,1,10,14,5,15,5,16,12,3,4,17,1,5,24,16,22,1,14,17,2,26,2,306
art,antennensuchlauf,2010,16,6,0,0,11,0,0,6,0,18,0,0,0,0,0,0,0,10,0,15,0,0,16,12,0,6,0,116
technologie,festnetz,2010,20,0,0,33,3,31,15,97,0,22,2,24,11,0,0,26,5,4,27,12,37,2,33,12,8,180,93,697
technologie,internet,2010,2,0,0,1,1,0,0,1,0,0,0,1,2,0,0,6,0,0,0,1,3,0,0,0,0,24,4,46
technologie,mobil,2010,423,18,15,686,448,262,358,1716,8,96,35,150,240,28,14,529,67,130,109,634,653,1,860,201,24,2463,371,10539
technologie,post,2010,1,0,0,8,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,20,0,0,3,0,46
typ,aktiv,2010,71,0,1,156,98,43,75,525,0,8,8,31,76,0,1,151,28,14,21,44,46,0,270,40,5,941,145,2798
typ,vds,2010,294,15,14,349,154,122,269,1152,2,82,21,122,146,23,6,295,32,83,36,143,192,2,487,129,24,878,258,5330
typ,techadm,2010,81,3,0,223,202,128,29,137,6,28,8,22,43,5,7,115,12,37,79,460,455,1,156,44,3,851,65,3200
deliktegruppe,buepf,2010,41,0,0,45,30,2,11,20,6,15,7,18,12,3,4,19,4,7,28,23,37,1,18,18,3,49,5,426
deliktegruppe,diverse,2010,6,0,0,18,12,6,4,149,0,0,0,1,5,0,0,16,0,0,3,8,184,0,67,0,3,53,3,538
deliktegruppe,drogen,2010,190,5,4,269,177,139,112,708,2,11,15,39,167,0,0,283,21,65,60,79,121,0,469,86,3,1546,109,4680
deliktegruppe,drohung,2010,12,0,0,41,13,2,11,67,0,7,5,4,30,0,2,12,0,14,1,18,13,0,27,0,0,82,1,362
deliktegruppe,finanz,2010,1,0,0,1,30,14,0,22,0,0,0,1,4,0,0,14,0,6,6,0,3,0,4,0,0,86,131,323
deliktegruppe,gewalt,2010,6,0,0,41,14,29,3,145,0,56,0,0,13,4,0,26,34,12,3,46,112,0,78,19,0,230,3,874
deliktegruppe,oeFrieden,2010,11,0,0,22,3,15,2,27,0,5,0,29,13,0,1,19,1,1,0,13,0,0,9,9,0,28,0,208
deliktegruppe,sex,2010,20,0,0,22,9,4,4,104,0,0,2,8,2,0,0,0,0,2,1,15,20,0,9,0,1,43,4,270
deliktegruppe,staat,2010,3,0,0,7,2,7,0,22,0,0,0,3,0,0,0,12,0,0,22,7,0,0,20,2,0,23,184,314
deliktegruppe,vermoegen,2010,156,13,11,262,164,75,226,550,0,24,8,72,19,21,7,160,12,27,12,438,203,2,212,79,22,530,28,3333
schwerestraftaten,paedo,2010,4,0,0,2,6,0,1,7,0,0,0,0,4,0,0,0,0,0,0,3,3,0,2,0,0,4,0,36
schwerestraftaten,krimorg,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
schwerestraftaten,terror,2010,10,0,0,20,3,13,2,24,0,5,0,20,13,0,1,11,1,1,0,13,0,0,2,3,0,26,2,170
schwerestraftaten,menschenhandel,2010,1,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,17,0,45
schwerestraftaten,nachrichtendienst,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
schwerestraftaten,geldwaesche,2010,0,0,0,1,30,14,0,12,0,0,0,4,4,0,0,14,0,6,6,0,3,0,4,0,0,10,137,245
schwerestraftaten,paedo_prozent,2010,0.9,18,0,0.3,1.3,0,0.3,0.4,0,0,0,0,1.5,0,0,0,0,0,0,0.5,0.4,0,0.2,0,0,0.1,0,0.3
schwerestraftaten,krimorg_prozent,2010,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.1
schwerestraftaten,terror_prozent,2010,2.2,18,0,2.7,0.7,4.4,0.5,1.3,0,4.2,0,11.4,4.9,0,7.1,2,1.4,0.7,0,2,0,0,0.2,1.4,0,1,0.4,1.5
schwerestraftaten,menschenhandel_prozent,2010,0.2,18,0,0.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,2,0.7,0,0,0,0,0.6,0,0.4
schwerestraftaten,nachrichtendienst_prozent,2010,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.01
schwerestraftaten,geldwaesche_prozent,2010,0,18,0,0.1,6.6,4.8,0,0.7,0,0,0,2.3,1.5,0,0,2.5,0,4.5,4.4,0,0.4,0,0.4,0,0,0.4,29.3,2.2
