Field,FieldValue,Year,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,BA,CH
art,internet,2012,2,0,0,6,2,0,3,0,0,0,0,1,0,0,0,1,0,0,5,3,0,0,9,0,0,12,21,65
art,post,2012,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,11,0,0,3,0,30
art,telefon,2012,865,1,6,925,414,254,552,2848,9,63,97,380,354,0,2,514,30,217,79,826,1462,1,1467,293,31,2435,222,14347
art,notsuche,2012,52,2,2,30,7,0,16,44,1,13,4,15,8,1,4,16,3,8,28,13,17,0,15,42,5,66,9,421
art,antennensuchlauf,2012,3,0,0,3,33,0,6,16,0,12,9,0,3,0,0,0,0,12,0,0,2,0,0,0,0,6,0,105
technologie,festnetz,2012,34,0,0,37,7,14,10,91,0,6,11,6,14,0,0,14,0,5,4,20,15,0,35,20,8,109,53,513
technologie,internet,2012,2,0,0,6,2,0,3,0,0,0,0,1,0,0,0,1,0,0,5,3,0,0,9,0,0,12,21,65
technologie,mobil,2012,886,3,8,921,447,240,564,2817,10,82,99,389,351,1,6,516,33,232,103,819,1466,1,1447,315,28,2398,178,14360
technologie,post,2012,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,11,0,0,3,0,30
typ,aktiv,2012,122,0,5,176,61,30,130,712,0,7,40,160,58,1,0,157,9,59,36,83,102,0,398,76,12,703,96,3233
typ,vds,2012,376,1,2,455,165,88,420,2005,7,56,63,177,263,0,2,285,15,78,48,98,415,0,854,206,13,749,119,6960
typ,techadm,2012,424,2,1,336,230,136,27,191,3,25,7,59,44,0,4,93,9,100,28,665,969,1,250,53,11,1070,37,4775
deliktegruppe,buepf,2012,333,3,2,124,145,77,40,137,3,17,4,57,16,1,4,53,9,65,42,554,50,1,130,49,10,264,21,2211
deliktegruppe,diverse,2012,78,0,0,76,32,10,48,258,0,0,6,12,49,0,0,25,2,11,0,16,232,0,66,10,2,30,1,964
deliktegruppe,drogen,2012,196,0,1,325,78,28,168,1148,3,19,23,141,206,0,0,225,5,86,13,60,586,0,703,133,6,1130,16,5299
deliktegruppe,drohung,2012,10,0,0,45,5,6,15,66,0,0,8,1,30,0,0,26,6,3,4,21,47,0,18,0,1,123,22,457
deliktegruppe,finanz,2012,1,0,0,1,1,7,1,62,0,0,0,6,24,0,0,2,0,0,0,1,18,0,24,0,1,28,56,233
deliktegruppe,gewalt,2012,118,0,3,18,34,21,13,390,0,3,0,16,0,0,0,28,0,11,20,23,36,0,61,11,0,122,0,928
deliktegruppe,oeFrieden,2012,18,0,0,34,5,2,11,29,0,0,4,5,7,0,0,16,2,7,2,10,6,0,22,19,0,18,93,310
deliktegruppe,sex,2012,4,0,0,31,4,2,9,63,1,1,14,15,1,0,0,11,2,5,0,3,30,0,21,6,0,80,0,303
deliktegruppe,staat,2012,48,0,0,24,45,12,36,27,0,3,2,10,0,0,0,15,0,16,3,61,35,0,40,0,0,80,42,499
deliktegruppe,vermoegen,2012,116,0,2,289,107,89,236,728,3,45,49,133,32,0,2,134,7,33,28,97,446,0,417,107,16,647,1,3764
schwerestraftaten,paedo,2012,2,0,0,5,7,0,3,10,2,0,0,4,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,69
schwerestraftaten,krimorg,2012,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,4,93,132
schwerestraftaten,terror,2012,14,0,0,22,8,0,11,18,0,0,0,5,8,0,0,14,0,0,0,7,1,0,9,1,0,10,2,130
schwerestraftaten,menschenhandel,2012,0,0,0,21,0,6,10,10,0,0,0,4,0,0,0,4,0,4,0,0,4,0,0,4,0,30,0,97
schwerestraftaten,nachrichtendienst,2012,33,0,0,20,44,12,1,5,0,2,2,3,0,0,0,13,0,16,1,57,15,0,15,0,0,59,50,348
schwerestraftaten,geldwaesche,2012,11,0,0,1,5,6,0,57,0,0,0,6,25,0,0,0,0,0,0,4,36,0,42,0,1,20,60,274
schwerestraftaten,paedo_prozent,2012,0.2,0,0,0.5,1.5,0,0.5,0.3,20,0,0,1,0,0,0,0,0,0,0,0,2.3,0,0.1,0,0,0,0,0.5
schwerestraftaten,krimorg_prozent,2012,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.5,0,0,0.2,36.9,0.9
schwerestraftaten,terror_prozent,2012,1.5,0,0,2.3,1.8,0,1.9,0.6,0,0,0,1.3,2.2,0,0,2.6,0,0,0,0.8,0.1,0,0.6,0.3,0,0.4,0.8,0.9
schwerestraftaten,menschenhandel_prozent,2012,0,0,0,2.2,0,2.4,1.7,0.3,0,0,0,1,0,0,0,0.7,0,1.7,0,0,0.3,0,0,1.2,0,1.2,0,0.6
schwerestraftaten,nachrichtendienst_prozent,2012,3.6,0,0,2.1,9.6,4.7,0.2,0.2,0,2.3,1.8,0.8,0,0,0,2.4,0,6.8,0.9,6.7,1,0,1,0,0,2.3,19.8,2.3
schwerestraftaten,geldwaesche_prozent,2012,1.2,0,0,0.1,1.1,2.4,0,2,0,0,0,1.5,6.8,0,0,0,0,0,0,0.5,2.4,0,2.8,0,2.8,0.8,23.8,1.8
